777487480000,0.33296,2.43960,0.13218,0.61579,-0.37945,-0.58663,-0.36425,
777687610000,0.37625,2.67629,0.14606,0.60906,-0.39090,-0.57952,-0.37471,
777887670000,0.46727,2.91071,0.15915,0.59628,-0.40903,-0.56792,-0.39321,
778087730000,0.62056,3.13957,0.16688,0.57792,-0.43371,-0.55078,-0.41777,
778287860000,0.79359,3.35907,0.17711,0.56044,-0.45790,-0.53240,-0.43907,
778487920000,0.94423,3.57616,0.18586,0.54709,-0.47458,-0.51852,-0.45453,
778687980000,1.08330,3.79153,0.19559,0.53581,-0.48806,-0.50664,-0.46692,
778888110000,1.23049,4.00434,0.20375,0.52357,-0.50182,-0.49479,-0.47878,
779088170000,1.34374,4.23327,0.21450,0.51495,-0.51035,-0.48705,-0.48699,
779288230000,1.49441,4.44051,0.22145,0.50029,-0.52490,-0.47256,-0.50088,
779488360000,1.59630,4.66689,0.23300,-0.48904,0.53498,0.46244,0.51068,
779688420000,1.66465,4.91364,0.24225,-0.48023,0.54227,0.45555,0.51749,
779888480000,1.71281,5.15542,0.24892,-0.46874,0.55194,0.44569,0.52631,
780088540000,1.79440,5.41094,0.25456,-0.45560,0.56299,0.43341,0.53631,
780288670000,1.82846,5.73549,0.26752,-0.45188,0.56387,0.43283,0.53899,
780488730000,1.88494,6.02411,0.27456,-0.44577,0.56810,0.42744,0.54392,
780688790000,1.77811,6.43978,0.29972,-0.46407,0.55011,0.44826,0.53017,
780888920000,1.63788,6.83932,0.32183,-0.48061,0.53305,0.46767,0.51590,
781088980000,1.42636,7.21482,0.34009,0.50036,-0.51296,-0.48891,-0.49746,
781289040000,1.25543,7.58098,0.35675,0.51170,-0.49896,-0.50216,-0.48686,
781489170000,1.16260,7.94800,0.37397,0.51606,-0.49437,-0.50621,-0.48273,
781580100000,1.01528,8.11693,0.38335,0.52764,-0.48170,-0.51768,-0.47071,
781689230000,0.88530,8.32823,0.39317,0.53685,-0.47199,-0.52650,-0.46024,
781780160000,0.73914,8.49281,0.40331,0.54759,-0.45924,-0.53666,-0.44859,
781889290000,0.60894,8.69746,0.41437,0.55521,-0.44991,-0.54404,-0.43970,
781980290000,0.42467,8.84604,0.42470,0.56811,-0.43276,-0.55751,-0.42326,
782089420000,0.10480,8.96995,0.44065,0.59228,-0.39845,-0.58144,-0.39034,
782180350000,-0.28708,8.98604,0.45514,0.62275,-0.34809,-0.61229,-0.34077,
782289480000,-0.43780,9.21509,0.46472,0.62248,-0.34852,-0.61243,-0.34057,
782380410000,-1.27956,8.38442,0.49920,0.70489,-0.12278,-0.68862,-0.11775,
782489540000,-1.68728,8.49873,0.51597,0.70586,-0.11618,-0.68987,-0.11109,
782580470000,-2.02663,8.32045,0.54372,0.71399,-0.06952,-0.69374,-0.06405,
782689670000,-2.32672,8.43107,0.56850,0.71436,-0.07258,-0.69284,-0.06626,
782780600000,-2.42406,8.32190,0.58583,0.71557,-0.05368,-0.69486,-0.04731,
782889730000,-2.90911,8.29406,0.59608,0.71449,-0.03874,-0.69774,-0.03412,
782980660000,-3.13146,8.30556,0.61618,0.71587,-0.03249,-0.69691,-0.02811,
783089790000,-3.43068,8.51407,0.63050,0.71334,-0.05712,-0.69655,-0.05188,
783180720000,-3.78013,8.39193,0.65120,0.71494,-0.03535,-0.69762,-0.03063,
783289850000,-4.18382,8.22233,0.68563,0.71676,-0.02124,-0.69680,-0.01662,
783380850000,-4.50177,8.28948,0.72468,0.71966,-0.02208,-0.69378,-0.01620,
783489980000,-4.68806,8.66582,0.73328,0.71619,-0.05685,-0.69386,-0.04905,
783580910000,-5.14186,8.47748,0.76611,0.71925,-0.02365,-0.69415,-0.01628,
783690040000,-5.33890,8.73764,0.78180,0.71822,-0.04800,-0.69301,-0.03983,
783780970000,-5.72404,8.73681,0.80120,0.71789,-0.04145,-0.69408,-0.03404,
783890100000,-6.05676,8.80776,0.82249,0.71737,-0.04163,-0.69461,-0.03409,
784090230000,-6.38650,9.22742,0.86384,0.71506,-0.08146,-0.69076,-0.07004,
